5,381
8,383
11,386
13,388
14,388
15,389
16,389
18,389
18,390
20,390
27,391
28,391
30,391
33,391
35,391
37,391
39,389
41,386
48,376
54,359
56,356
58,352
61,347
64,344
76,341
83,341
89,344
101,352
108,358
109,360
113,365
116,369
116,370
118,370
119,370
121,370
122,370
124,369
125,369
128,367
130,366
131,364
132,363
133,361
135,360
136,357
138,353
139,351
141,348
143,345
144,343
146,340
146,339
148,338
149,337
150,336
152,335
155,334
159,334
162,334
165,336
168,336
172,338
177,341
180,343
186,349
189,353
192,357
194,360
200,370
208,376
212,378
226,380
240,379
244,376
246,376
255,360
262,346
281,341
291,345
298,346
316,355
328,365
332,368
335,370
339,373
342,376
349,380
356,382
357,382
358,382
363,381
367,379
370,376
374,374
378,368
381,362
383,360
389,350
392,345
399,337
409,334
414,334
419,334
423,335
432,337
438,340
444,343
446,344
449,345
453,348
457,351
460,353
466,357
467,359
469,360
473,362
479,366
483,367
483,368
485,369
486,369
488,370
489,370
490,370
491,370
492,370
494,370
494,369
495,368
495,367
